,Time,Temperature (ø F),Dew Point (ø F),Humidity (%),Wind Speed (mph),Pressure (Hg),,,FOG PREDICT
3531,12-01-2020,58.2,48,71.9,3.3,29.1,,,10.2
3532,13-01-2020,59.8,53.1,81.2,7.7,29,,,6.7
3533,14-01-2020,54.9,51.9,90.2,5.1,29.1,,,3
3534,15-01-2020,55.6,50.4,83.9,5.2,29.2,,,5.2
3535,16-01-2020,54.1,52,91.6,4.5,29.1,,,2.1
3536,17-01-2020,54.9,51.6,89,4.7,29.2,,,3.3
3537,18-01-2020,54,50.8,89.7,2.7,29.2,,,3.2
3538,19-01-2020,49.6,47.4,91.8,8.2,29.3,,,2.2
3539,20-01-2020,52.9,52.1,97.4,3.7,29.2,,,0.8
3540,21-01-2020,54.9,51,86.2,2.9,29.3,,,3.9
3541,22-01-2020,52.1,50,92.8,6.5,29.3,,,2.1
3542,23-01-2020,54.6,43.6,70.1,8.7,29.2,,,11
3543,24-01-2020,56,42.3,63.1,5.6,29.2,,,13.7
3544,25-01-2020,56.5,45.5,70.5,3,29.2,,,11
3545,26-01-2020,58.5,47.3,70,3.4,29.1,,,11.2
3546,27-01-2020,61.3,51,72.5,5.8,29,,,10.3
3547,28-01-2020,60.2,56.7,89.5,7,29,,,3.5
3548,29-01-2020,58.6,52,81.5,4.9,29.2,,,6.6
3549,30-01-2020,56.8,50.3,80.8,6.3,29.2,,,6.5
3550,31-01-2020,54.8,46.3,75.2,5.8,29.1,,,8.5
3551,01-02-2020,56.1,48.1,77,4.7,29.3,,,8
3552,02-02-2020,53.4,46.2,78.9,4.8,29.3,,,7.2
3553,03-02-2020,57.4,44,65.5,3.6,29.2,,,13.4
3554,04-02-2020,59.1,46.1,66.2,1.8,29.2,,,13
3555,05-02-2020,57.4,48.2,74.7,5.5,29.2,,,9.2
3556,06-02-2020,55,45.3,72.9,3.8,29.2,,,9.7
3557,07-02-2020,55.8,46.1,72.9,3.8,29.3,,,9.7
3558,08-02-2020,57.2,47.3,68,4.8,29.3,,,9.9
3559,09-02-2020,57.9,47.2,71,4.8,29.3,,,10.7
3560,10-02-2020,55.8,46.2,72.9,3.2,29.3,,,9.6
3561,11-02-2020,59.8,48.9,71.6,3.5,29.3,,,10.9
3562,12-02-2020,61.1,52.3,75.1,7.7,29.2,,,8.8
3563,13-02-2020,66.5,51.9,62,10.1,29.1,,,14.6
3564,14-02-2020,62.9,47.5,59.9,9.5,29.1,,,15.4
3565,15-02-2020,63.4,44.8,53.8,7.8,29.1,,,18.6
3566,16-02-2020,63.9,47.9,60.9,4,29.2,,,16
3567,17-02-2020,63.9,46.4,57.2,5.5,29.2,,,17.5
3568,18-02-2020,64.3,44.4,51.9,5.3,29.1,,,19.9
3569,19-02-2020,68.3,48.2,51.9,9.7,29.1,,,20.1
3570,20-02-2020,69.7,54.1,61.2,11,29.1,,,15.6
3571,21-02-2020,61,55.2,82.2,8.5,29.2,,,5.8
3572,22-02-2020,65.2,56.5,75.4,4,29.3,,,8.7
3573,23-02-2020,68.7,57.5,70.1,4.3,29.2,,,11.2
3574,24-02-2020,67.5,56.9,71.3,4.6,29.1,,,10.6
3575,25-02-2020,67.4,57.1,73.3,4.4,29.1,,,10.3
3576,26-02-2020,68.4,56.1,69.7,5.1,29.1,,,12.3
3577,27-02-2020,70.4,60.9,74.5,6.5,29.1,,,9.5
3578,28-02-2020,70.1,60.5,72.6,9.6,29.1,,,9.6
3579,29-02-2020,69.5,60.6,75.7,10.9,29.1,,,8.9
3580,01-03-2020,69.3,58.9,72.2,3.1,29.1,,,10.4
3581,02-03-2020,70.8,59.9,70.6,2.3,29.1,,,10.9
3582,03-03-2020,71.2,55.1,60.6,3.7,29,,,16.1
3583,04-03-2020,69.6,56.1,65.8,6.9,29,,,13.5
3584,05-03-2020,65.8,55.1,70.6,9.7,29,,,10.7
3585,06-03-2020,60.3,57.2,90.3,8.5,29,,,3.1
3586,07-03-2020,63.9,57.9,81.9,3.8,29.1,,,6
3587,08-03-2020,63.4,53.9,72.6,5.9,29.1,,,9.5
3588,09-03-2020,66.3,51.6,61.9,7.1,29.1,,,14.7
3589,10-03-2020,68,53.5,63.3,4.2,29,,,14.5
3590,11-03-2020,70.5,60,71.8,8.5,29,,,10.5
3591,12-03-2020,71,53.4,57.4,5.4,29,,,17.6
3592,13-03-2020,69.4,49.9,54.6,5.5,29.1,,,19.5
3593,14-03-2020,64.6,59,83.5,5.3,29.1,,,5.6
3594,15-03-2020,66,53.4,66.8,4,29.2,,,12.6
3595,16-03-2020,68.3,55.4,66.5,5.5,29.2,,,12.9
3596,17-03-2020,70.3,55.1,62.3,5.7,29.2,,,15.2
3597,18-03-2020,73.2,57.7,61.6,4.8,29.1,,,15.5
3598,19-03-2020,74.4,59.7,62.3,4.7,29,,,14.7
3599,20-03-2020,76.5,59.9,57.8,3.9,29,,,16.6
3600,21-03-2020,76.1,58.3,55.9,3.4,29,,,17.8
